county,population,fall_2020_cases,fall_2021_cases,spring_2020_cases,spring_2021_cases,summer_2020_cases,summer_2021_cases,winter_2020_cases,winter_2021_cases,fall_2020_doses_administered,fall_2021_doses_administered,spring_2021_doses_administered,summer_2020_doses_administered,summer_2021_doses_administered,winter_2020_doses_administered,winter_2021_doses_administered,fall_2020_pfizer_doses,fall_2021_pfizer_doses,spring_2021_pfizer_doses,summer_2020_pfizer_doses,summer_2021_pfizer_doses,winter_2020_pfizer_doses,winter_2021_pfizer_doses,fall_2020_moderna_doses,fall_2021_moderna_doses,spring_2021_moderna_doses,summer_2020_moderna_doses,summer_2021_moderna_doses,winter_2020_moderna_doses,winter_2021_moderna_doses,fall_2020_jj_doses,fall_2021_jj_doses,spring_2021_jj_doses,summer_2020_jj_doses,summer_2021_jj_doses,winter_2020_jj_doses,winter_2021_jj_doses,fall_2020_partially_vaccinated,fall_2021_partially_vaccinated,spring_2021_partially_vaccinated,summer_2020_partially_vaccinated,summer_2021_partially_vaccinated,winter_2020_partially_vaccinated,winter_2021_partially_vaccinated,fall_2020_at_least_one_dose,fall_2021_at_least_one_dose,spring_2021_at_least_one_dose,summer_2020_at_least_one_dose,summer_2021_at_least_one_dose,winter_2020_at_least_one_dose,winter_2021_at_least_one_dose,fall_2020_fully_vaccinated,fall_2021_fully_vaccinated,spring_2021_fully_vaccinated,summer_2020_fully_vaccinated,summer_2021_fully_vaccinated,winter_2020_fully_vaccinated,winter_2021_fully_vaccinated,fall_2020_partially_vaccinated_percent,fall_2021_partially_vaccinated_percent,spring_2021_partially_vaccinated_percent,summer_2020_partially_vaccinated_percent,summer_2021_partially_vaccinated_percent,winter_2020_partially_vaccinated_percent,winter_2021_partially_vaccinated_percent,fall_2020_at_least_one_dose_percent,fall_2021_at_least_one_dose_percent,spring_2021_at_least_one_dose_percent,summer_2020_at_least_one_dose_percent,summer_2021_at_least_one_dose_percent,winter_2020_at_least_one_dose_percent,winter_2021_at_least_one_dose_percent,fall_2020_fully_vaccinated_percent,fall_2021_fully_vaccinated_percent,spring_2021_fully_vaccinated_percent,summer_2020_fully_vaccinated_percent,summer_2021_fully_vaccinated_percent,winter_2020_fully_vaccinated_percent,winter_2021_fully_vaccinated_percent,spring_2020_Unemployment_Rate,spring_2021_Unemployment_Rate,summer_2020_Unemployment_Rate,summer_2021_Unemployment_Rate,fall_2020_Unemployment_Rate,fall_2021_Unemployment_Rate,winter_2020_Unemployment_Rate,winter_2021_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
Alameda,1685886,11054,2601,5161,5862,14483,23141,23533,27339,17,277728,1132830,78,258266,23688,955341,10,193426,725685,74,204507,16671,580841,3,78527,327129,4,44793,7003,349068,4,5759,79829,0,8898,10,25286,9,46894,472313,41,101159,23595,546910,12,49676,552045,42,109907,23630,572281,7,31879,656370,37,115788,61,406277,6.08E-06,0.059119061,0.180870597,1.64E-05,0.05547971,0.014345075,0.141541644,3.29E-05,0.795518039,0.698430371,2.56E-05,0.765295979,0.014408955,0.362575287,2.68E-05,0.736398978,0.646560808,2.25E-05,0.71700432,6.39E-05,0.247236114,0.138521109,0.062728303,0.11965496,0.064571781,0.084276575,0.052409339,0.031264916,0.069808581,0.802081629,0.006056592,0.177008584,0.008174582,0.006678614
Alpine,1117,51,3,1,3,2,13,15,16,0,111,525,0,72,21,921,0,10,15,0,10,5,19,0,101,507,0,62,16,900,0,0,3,0,0,0,2,0,17,129,0,22,21,616,0,17,133,0,22,21,618,0,9,393,0,7,0,296,0,0.092334495,0.297909408,0,0.085365854,0.018292683,0.31097561,0,0.706445993,0.672473868,0,0.691637631,0.018292683,0.556620209,0,0.614111498,0.600174216,0,0.606271777,0,0.257839721,0.222222222,0.081967213,0.152173913,0.085106383,0.108695652,0.083333333,0.047619048,0.071428571,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055
Amador,38531,574,233,26,182,266,1319,1840,868,1,5264,12876,0,4960,601,21483,1,1742,3280,0,2686,507,5212,0,3382,8872,0,1875,94,15882,0,140,722,0,399,0,389,1,848,4717,0,2266,585,12508,1,943,5432,0,2673,586,12896,0,759,7949,0,2199,3,8316,2.64E-05,0.087366835,0.136165376,0,0.088794311,0.015437892,0.149990748,2.64E-05,0.595601258,0.500013217,0,0.570673293,0.015517196,0.356419678,0,0.508234423,0.430040445,0,0.488170451,7.93E-05,0.219910651,0.15200563,0.06877193,0.115891742,0.067484663,0.079779917,0.057104011,0.048266485,0.080831629,0.365539813,0.004931851,0.609083572,0.015647418,0.004797346
Butte,217769,1540,1169,276,1116,2673,6060,3762,3337,9,24500,70815,16,33097,3734,99865,7,12311,38679,7,23097,3246,39603,2,11609,27897,9,8394,488,57626,0,578,4225,0,1606,0,2631,7,3976,26226,12,14914,3728,58541,7,4349,30409,12,16492,3732,61174,2,4996,44289,4,15069,5,41142,5.72E-05,0.049578333,0.111852912,4.40E-05,0.055096334,0.016470329,0.104687878,8.37E-05,0.511615105,0.419834856,5.28E-05,0.492462843,0.016518771,0.285918749,2.64E-05,0.464635032,0.376272157,1.76E-05,0.442633491,4.84E-05,0.181230871,0.13238512,0.070021882,0.111725664,0.070815451,0.079175705,0.057569296,0.056074766,0.079402629,0.494052868,0.004967374,0.477436169,0.01738091,0.006162679
Calaveras,44289,266,315,45,210,256,1392,669,753,1,5985,16034,1,6594,630,22882,1,2466,9435,1,3804,560,6330,0,3379,5887,0,2420,70,16231,0,140,711,0,370,0,321,1,1312,6320,1,3079,612,12925,1,1430,7023,1,3449,614,13260,0,829,9437,0,2854,13,9457,4.42E-05,0.070476401,0.102288051,2.21E-05,0.06150105,0.013330386,0.122670499,4.42E-05,0.569868465,0.462009506,2.21E-05,0.538255775,0.013617774,0.30675362,0,0.499392064,0.417972809,0,0.481065547,0.000287388,0.209351166,0.116188624,0.058823529,0.091078935,0.057350933,0.066448292,0.047619048,0.044186047,0.067756427,0.369827713,0.004601679,0.608084229,0.013216021,0.004270358
Colusa,22593,323,59,91,80,440,428,526,503,0,1767,9254,0,4184,126,8985,0,888,1904,0,2444,50,2019,0,834,6841,0,1640,76,6560,0,45,506,0,88,0,405,0,459,3806,0,2062,126,5384,0,489,4310,0,2147,126,5786,0,567,5413,0,2009,0,3580,0,0.062896012,0.120387626,0,0.077431979,0.005870294,0.117545658,0,0.599049571,0.476239284,0,0.576267238,0.005870294,0.275437943,0,0.538995527,0.418980619,0,0.512579202,0,0.166790906,0.214031972,0.128971963,0.1344294,0.104278075,0.099806202,0.083629893,0.199811499,0.161372121,0.406858435,0.003140309,0.57266675,0.010174601,0.007159905
Contra Costa,1160099,8947,2311,3049,5403,13357,22241,17332,21925,23,207665,736491,107,209118,19790,713370,15,145863,532995,99,171875,14197,424856,3,58333,170117,8,29626,5581,274718,5,3467,33275,0,7580,9,13664,11,37248,289024,57,84607,19717,425554,16,39681,322291,58,92092,19755,439319,12,31300,445709,50,89487,56,286495,1.06E-05,0.053036099,0.188624369,3.09E-05,0.051066537,0.017393384,0.152248362,6.53E-05,0.80583668,0.689557528,5.12E-05,0.770821366,0.017497509,0.405161452,5.47E-05,0.752800581,0.646215697,4.41E-05,0.72518083,0.000104126,0.25291309,0.13995867,0.065923687,0.119436202,0.067590028,0.084366327,0.055452177,0.033004484,0.072729769,0.716281678,0.004503575,0.262984332,0.010520956,0.005709459
Del Norte,27558,255,91,54,263,87,1944,371,393,1,2759,8247,0,4723,262,10019,0,1369,2282,0,2617,232,3935,1,1290,5277,0,1723,30,5818,0,96,683,0,368,0,234,1,490,3037,0,2160,260,6061,1,558,3720,0,2526,260,6248,0,619,5173,0,2035,0,3889,3.65E-05,0.0603486,0.102610852,0,0.073694574,0.009517211,0.097870478,3.65E-05,0.4854507,0.372994457,0,0.465103559,0.009517211,0.237346849,0,0.427217036,0.33044049,0,0.404645566,0,0.141810093,0.134065934,0.080434783,0.110869565,0.07523511,0.082978723,0.061909759,0.066597294,0.088031237,0.408364621,0.006810443,0.564131669,0.013097005,0.007596263
El Dorado,193098,1962,663,229,1021,943,4280,3511,2715,4,26064,84263,10,28296,3005,99199,0,14569,41409,6,19667,2068,43560,4,10855,38529,4,7158,935,53094,0,640,4314,0,1467,2,2534,3,3624,33031,5,11658,2997,58285,3,3998,37320,5,13112,3001,60828,1,3574,50942,5,12302,10,40600,1.07E-05,0.05803569,0.123785901,1.61E-05,0.062889409,0.016034415,0.128505687,4.29E-05,0.633592448,0.541928951,2.68E-05,0.612173941,0.016120132,0.341994311,3.21E-05,0.575556758,0.490504176,2.68E-05,0.556409748,8.57E-05,0.21759232,0.149006623,0.059151786,0.098669623,0.058951965,0.066959385,0.049180328,0.037960954,0.067519304,0.444399487,0.003960089,0.532356511,0.016107232,0.00317668
Fresno,1032227,13681,7018,8591,3510,21078,25251,27995,26432,4,118761,389986,8,199584,10663,450608,1,74742,227995,6,148324,8041,202313,3,41740,145111,2,45665,2622,233656,0,2245,16705,0,5541,0,14501,3,26951,148998,6,94101,10640,278679,3,28565,165496,6,99536,10644,293259,1,29801,238652,2,91887,14,169944,7.16E-06,0.069565395,0.133364686,5.11E-06,0.0801509,0.01087381,0.150289839,9.20E-06,0.610868698,0.479903489,6.13E-06,0.581665014,0.01089119,0.310707166,3.07E-06,0.542157995,0.417749174,2.04E-06,0.511690675,1.74E-05,0.173761156,0.151958577,0.095445182,0.129931973,0.092732947,0.097072072,0.077752809,0.083994709,0.101028583,0.5289559,0.004039275,0.450688787,0.011046348,0.005269691
