,county,population,fall_2020_cases,fall_2021_cases,spring_2020_cases,spring_2021_cases,summer_2020_cases,summer_2021_cases,winter_2020_cases,winter_2021_cases,fall_2020_doses_administered,fall_2021_doses_administered,spring_2021_doses_administered,summer_2020_doses_administered,summer_2021_doses_administered,winter_2020_doses_administered,winter_2021_doses_administered,fall_2020_pfizer_doses,fall_2021_pfizer_doses,spring_2021_pfizer_doses,summer_2020_pfizer_doses,summer_2021_pfizer_doses,winter_2020_pfizer_doses,winter_2021_pfizer_doses,fall_2020_moderna_doses,fall_2021_moderna_doses,spring_2021_moderna_doses,summer_2020_moderna_doses,summer_2021_moderna_doses,winter_2020_moderna_doses,winter_2021_moderna_doses,fall_2020_jj_doses,fall_2021_jj_doses,spring_2021_jj_doses,summer_2020_jj_doses,summer_2021_jj_doses,winter_2020_jj_doses,winter_2021_jj_doses,fall_2020_partially_vaccinated,fall_2021_partially_vaccinated,spring_2021_partially_vaccinated,summer_2020_partially_vaccinated,summer_2021_partially_vaccinated,winter_2020_partially_vaccinated,winter_2021_partially_vaccinated,fall_2020_at_least_one_dose,fall_2021_at_least_one_dose,spring_2021_at_least_one_dose,summer_2020_at_least_one_dose,summer_2021_at_least_one_dose,winter_2020_at_least_one_dose,winter_2021_at_least_one_dose,fall_2020_fully_vaccinated,fall_2021_fully_vaccinated,spring_2021_fully_vaccinated,summer_2020_fully_vaccinated,summer_2021_fully_vaccinated,winter_2020_fully_vaccinated,winter_2021_fully_vaccinated,fall_2020_partially_vaccinated_percent,fall_2021_partially_vaccinated_percent,spring_2021_partially_vaccinated_percent,summer_2020_partially_vaccinated_percent,summer_2021_partially_vaccinated_percent,winter_2020_partially_vaccinated_percent,winter_2021_partially_vaccinated_percent,fall_2020_at_least_one_dose_percent,fall_2021_at_least_one_dose_percent,spring_2021_at_least_one_dose_percent,summer_2020_at_least_one_dose_percent,summer_2021_at_least_one_dose_percent,winter_2020_at_least_one_dose_percent,winter_2021_at_least_one_dose_percent,fall_2020_fully_vaccinated_percent,fall_2021_fully_vaccinated_percent,spring_2021_fully_vaccinated_percent,summer_2020_fully_vaccinated_percent,summer_2021_fully_vaccinated_percent,winter_2020_fully_vaccinated_percent,winter_2021_fully_vaccinated_percent
0,Alameda,1685886.0,11054.0,2601.0,5161.0,5862.0,14483.0,23141.0,23533.0,27339.0,17,277728,1132830,78,258266,23688,955341,10,193426,725685,74,204507,16671,580841,3,78527,327129,4,44793,7003,349068,4,5759,79829,0,8898,10,25286,9,46894,472313,41,101159,23595,546910,12,49676,552045,42,109907,23630,572281,7,31879,656370,37,115788,61,406277,6.083835249741437e-06,0.0591190606558374,0.180870596824238,1.642635517430188e-05,0.0554797104094421,0.0143450751353653,0.1415416438522845,3.285271034860376e-05,0.7955180385715155,0.6984303705055667,2.5552108048914043e-05,0.7652959785849001,0.0144089554054876,0.3625752874612155,2.6768875098862327e-05,0.736398977915678,0.6465608079333212,2.251019042404332e-05,0.7170043195230273,6.38802701222851e-05,0.2472361136460424
1,Alpine,1117.0,51.0,3.0,1.0,3.0,2.0,13.0,15.0,16.0,0,111,525,0,72,21,921,0,10,15,0,10,5,19,0,101,507,0,62,16,900,0,0,3,0,0,0,2,0,17,129,0,22,21,616,0,17,133,0,22,21,618,0,9,393,0,7,0,296,0.0,0.0923344947735191,0.2979094076655052,0.0,0.0853658536585365,0.0182926829268292,0.3109756097560975,0.0,0.7064459930313589,0.6724738675958188,0.0,0.6916376306620209,0.0182926829268292,0.5566202090592335,0.0,0.6141114982578397,0.6001742160278746,0.0,0.6062717770034843,0.0,0.2578397212543554
2,Amador,38531.0,574.0,233.0,26.0,182.0,266.0,1319.0,1840.0,868.0,1,5264,12876,0,4960,601,21483,1,1742,3280,0,2686,507,5212,0,3382,8872,0,1875,94,15882,0,140,722,0,399,0,389,1,848,4717,0,2266,585,12508,1,943,5432,0,2673,586,12896,0,759,7949,0,2199,3,8316,2.643474582991885e-05,0.0873668349678817,0.1361653757699119,0.0,0.0887943112426974,0.0154378915646726,0.1499907478389595,2.643474582991885e-05,0.5956012582939015,0.5000132173729149,0.0,0.570673292976288,0.0155171958021623,0.3564196780247958,0.0,0.5082344233260198,0.4300404451611198,0.0,0.4881704512411113,7.930423748975654e-05,0.2199106505590948
3,Butte,217769.0,1540.0,1169.0,276.0,1116.0,2673.0,6060.0,3762.0,3337.0,9,24500,70815,16,33097,3734,99865,7,12311,38679,7,23097,3246,39603,2,11609,27897,9,8394,488,57626,0,578,4225,0,1606,0,2631,7,3976,26226,12,14914,3728,58541,7,4349,30409,12,16492,3732,61174,2,4996,44289,4,15069,5,41142,5.724980733237917e-05,0.0495783331498403,0.1118529120334691,4.4038313332599356e-05,0.055096333810414996,0.0164703291863921,0.1046878784542552,8.367279533193878e-05,0.5116151051414731,0.4198348563250027,5.284597599911923e-05,0.4924628426731256,0.016518771331058,0.2859187493119013,2.642298799955961e-05,0.4646350324782561,0.3762721567763954,1.7615325333039747e-05,0.4426334911372894,4.84421446658593e-05,0.1812308708576461
4,Calaveras,44289.0,266.0,315.0,45.0,210.0,256.0,1392.0,669.0,753.0,1,5985,16034,1,6594,630,22882,1,2466,9435,1,3804,560,6330,0,3379,5887,0,2420,70,16231,0,140,711,0,370,0,321,1,1312,6320,1,3079,612,12925,1,1430,7023,1,3449,614,13260,0,829,9437,0,2854,13,9457,4.421355145352051e-05,0.0704764010169116,0.1022880512877196,2.2106775726760254e-05,0.061501050071847,0.0133303857632364,0.1226704985077926,4.421355145352051e-05,0.5698684646844258,0.4620095059135625,2.2106775726760254e-05,0.5382557753951586,0.0136177738476843,0.3067536199845252,0.0,0.4993920636675141,0.41797280866585607,0.0,0.4810655465900298,0.0002873880844478,0.2093511661324195
5,Colusa,22593.0,323.0,59.0,91.0,80.0,440.0,428.0,526.0,503.0,0,1767,9254,0,4184,126,8985,0,888,1904,0,2444,50,2019,0,834,6841,0,1640,76,6560,0,45,506,0,88,0,405,0,459,3806,0,2062,126,5384,0,489,4310,0,2147,126,5786,0,567,5413,0,2009,0,3580,0.0,0.0628960119269474,0.1203876257920238,0.0,0.0774319791278419,0.005870294446515001,0.1175456578456951,0.0,0.5990495713753261,0.4762392843831531,0.0,0.5762672381662318,0.005870294446515001,0.2754379426015654,0.0,0.5389955273947075,0.4189806187103988,0.0,0.5125792023853895,0.0,0.1667909057025717
6,Contra Costa,1160099.0,8947.0,2311.0,3049.0,5403.0,13357.0,22241.0,17332.0,21925.0,23,207665,736491,107,209118,19790,713370,15,145863,532995,99,171875,14197,424856,3,58333,170117,8,29626,5581,274718,5,3467,33275,0,7580,9,13664,11,37248,289024,57,84607,19717,425554,16,39681,322291,58,92092,19755,439319,12,31300,445709,50,89487,56,286495,1.0589041929958784e-05,0.0530360989263593,0.1886243687386774,3.088470562904645e-05,0.051066537127387,0.0173933837901181,0.1522483624487865,6.529909190141249e-05,0.8058366799117933,0.6895575280587549,5.118036932813412e-05,0.7708213655099021,0.017497509369096,0.4051614520047262,5.471004997145371e-05,0.7528005809854339,0.646215697019273,4.4121008041494926e-05,0.7251808299514579,0.0001041255789779,0.2529130895559397
7,Del Norte,27558.0,255.0,91.0,54.0,263.0,87.0,1944.0,371.0,393.0,1,2759,8247,0,4723,262,10019,0,1369,2282,0,2617,232,3935,1,1290,5277,0,1723,30,5818,0,96,683,0,368,0,234,1,490,3037,0,2160,260,6061,1,558,3720,0,2526,260,6248,0,619,5173,0,2035,0,3889,3.6464410735122524e-05,0.0603485997666277,0.1026108518086347,0.0,0.0736945740956826,0.0095172112018669,0.0978704784130688,3.6464410735122524e-05,0.4854507001166861,0.3729944574095682,0.0,0.4651035589264877,0.0095172112018669,0.2373468494749125,0.0,0.4272170361726954,0.3304404900816803,0.0,0.4046455659276546,0.0,0.1418100933488914
8,El Dorado,193098.0,1962.0,663.0,229.0,1021.0,943.0,4280.0,3511.0,2715.0,4,26064,84263,10,28296,3005,99199,0,14569,41409,6,19667,2068,43560,4,10855,38529,4,7158,935,53094,0,640,4314,0,1467,2,2534,3,3624,33031,5,11658,2997,58285,3,3998,37320,5,13112,3001,60828,1,3574,50942,5,12302,10,40600,1.0714610979261873e-05,0.0580356903691719,0.1237859006434123,1.6071916468892803e-05,0.0628894091427775,0.0160344153304653,0.1285056867797772,4.285844391704749e-05,0.6335924483421819,0.5419289514145965,2.6786527448154682e-05,0.6121739409946373,0.0161201322182994,0.34199431054157003,3.2143832937785605e-05,0.5755567579730099,0.4905041760196291,2.6786527448154682e-05,0.556409748153069,8.571688783409497e-05,0.21759231976685003
9,Fresno,1032227.0,13681.0,7018.0,8591.0,3510.0,21078.0,25251.0,27995.0,26432.0,4,118761,389986,8,199584,10663,450608,1,74742,227995,6,148324,8041,202313,3,41740,145111,2,45665,2622,233656,0,2245,16705,0,5541,0,14501,3,26951,148998,6,94101,10640,278679,3,28565,165496,6,99536,10644,293259,1,29801,238652,2,91887,14,169944,7.156512937953032e-06,0.06956539519286799,0.1333646856757281,5.111794955680738e-06,0.0801509001870917,0.010873810229724001,0.1502898387739871,9.201230920225328e-06,0.6108686984347684,0.4799034893112368,6.1341539468168854e-06,0.5816650138529643,0.0108911903325733,0.3107071657141689,3.0670769734084427e-06,0.5421579953584902,0.4177491744451146,2.044717982272295e-06,0.5116906750636419,1.7380102849314507e-05,0.1737611564924907
